"gene"	"count"
"386"	"ENSG00000138207"	1
"387"	"ENSG00000072401"	0
"388"	"ENSG00000205356"	1
"389"	"ENSG00000136522"	0
"390"	"ENSG00000108523"	0
"391"	"ENSG00000110148"	0
"392"	"ENSG00000105679"	0
"393"	"ENSG00000150527"	0
"394"	"ENSG00000122696"	0
"395"	"ENSG00000206454"	0
"396"	"ENSG00000132383"	0
"397"	"ENSG00000105298"	0
"398"	"ENSG00000002586"	0
"399"	"ENSG00000197822"	0
"400"	"ENSG00000211612"	0
"401"	"ENSG00000118271"	0
"402"	"ENSG00000091844"	0
"403"	"ENSG00000165219"	0
"404"	"ENSG00000166896"	0
"405"	"ENSG00000153064"	1
"406"	"ENSG00000139546"	0
"407"	"ENSG00000119866"	0
"408"	"ENSG00000078328"	0
"409"	"ENSG00000170482"	0
"410"	"ENSG00000139572"	0
"411"	"ENSG00000186446"	0
"412"	"ENSG00000111845"	0
"413"	"ENSG00000165178"	0
"414"	"ENSG00000007944"	0
"415"	"ENSG00000101464"	0
"416"	"ENSG00000077092"	1
"417"	"ENSG00000164972"	0
"418"	"ENSG00000168452"	0
"419"	"ENSG00000182255"	0
"420"	"ENSG00000135951"	0
"421"	"ENSG00000066455"	2
"422"	"ENSG00000215157"	0
"423"	"ENSG00000197530"	0
"424"	"ENSG00000171055"	0
"425"	"ENSG00000163221"	0
"426"	"ENSG00000198563"	0
"427"	"ENSG00000118217"	1
"428"	"ENSG00000184056"	0
"429"	"ENSG00000138757"	0
"430"	"ENSG00000142867"	0
"431"	"ENSG00000187288"	0
"432"	"ENSG00000011304"	0
"433"	"ENSG00000154975"	0
"434"	"ENSG00000147679"	0
"435"	"ENSG00000162458"	0
"436"	"ENSG00000135698"	0
"437"	"ENSG00000198650"	0
"438"	"ENSG00000102054"	1
"439"	"ENSG00000112096"	0
"440"	"ENSG00000173113"	0
"441"	"ENSG00000215629"	0
"442"	"ENSG00000134121"	0
"443"	"ENSG00000121542"	0
"444"	"ENSG00000171291"	1
"445"	"ENSG00000214575"	0
"446"	"ENSG00000206385"	0
"447"	"ENSG00000006282"	0
"448"	"ENSG00000135318"	0
"449"	"ENSG00000171116"	0
"450"	"ENSG00000146070"	0
"451"	"ENSG00000147140"	0
"452"	"ENSG00000151239"	0
"453"	"ENSG00000172724"	0
"454"	"ENSG00000173636"	0
"455"	"ENSG00000163736"	0
"456"	"ENSG00000080819"	0
"457"	"ENSG00000135114"	0
"458"	"ENSG00000204531"	0
"459"	"ENSG00000087087"	1
"460"	"ENSG00000164619"	0
"461"	"ENSG00000185716"	0
"462"	"ENSG00000185100"	0
"463"	"ENSG00000187601"	0
"464"	"ENSG00000086548"	0
"465"	"ENSG00000135763"	3
"466"	"ENSG00000162399"	1
"467"	"ENSG00000161395"	0
"468"	"ENSG00000085563"	1
"469"	"ENSG00000112029"	0
"470"	"ENSG00000108518"	2
"471"	"ENSG00000213619"	0
"472"	"ENSG00000184481"	0
"473"	"ENSG00000163467"	1
"474"	"ENSG00000158220"	0
"475"	"ENSG00000179097"	1
"476"	"ENSG00000100836"	1
"477"	"ENSG00000126756"	0
"478"	"ENSG00000134453"	0
"479"	"ENSG00000004455"	0
"480"	"ENSG00000215232"	0
"481"	"ENSG00000213420"	1
"482"	"ENSG00000138964"	0
"483"	"ENSG00000167632"	1
"484"	"ENSG00000160883"	1
"485"	"ENSG00000164076"	0
"486"	"ENSG00000185950"	0
"487"	"ENSG00000170091"	0
"488"	"ENSG00000129071"	1
"489"	"ENSG00000164329"	0
"490"	"ENSG00000156983"	2
